Acronym,SAT ID,Launch,(expected) EOL,Satellite Programme,Agencies,Orbit,Altitude,Longitude,Inclination,Ect,Sat status,Payload,Last update
Explorer-VII,713,1959-10-13,1961-08-24,Explorer-VII,"NASA
",DRIFT,722 km,,50.28°,,Inactive,3D-Winds Lidar,2021-10-22 14:03:38
TIROS-1,431,1960-04-01,1960-06-17,Television and Infra-Red Observation Satellite,"NASA
",DRIFT,720 km,,48.4°,,Inactive,"CRIS (ACE)
EPAM
MAG (ACE)
SEPICA 
SIS
SWEPAM
SWICS
SWIMS
ULEIS",2022-10-20 13:20:37
TIROS-2,432,1960-11-23,1961-12-24,Television and Infra-Red Observation Satellite,"NASA
",DRIFT,670 km,,48.6°,,Inactive,"ACE Lidar
CPR (CloudSat)
OCI
Polarimeters",2016-06-30 01:57:09
TIROS-3,433,1961-07-12,1962-02-27,Television and Infra-Red Observation Satellite,"NASA
",DRIFT,780 km,,47.9°,,Inactive,ACRIM-III,2015-07-27 19:40:14
TIROS-4,434,1962-02-02,1962-07-19,Television and Infra-Red Observation Satellite,"NASA
",DRIFT,770 km,,48.3°,,Inactive,"AVNIR
ILAS-I
IMG
NSCAT
OCTS
POLDER
RIS
TOMS",2015-07-27 19:41:38
TIROS-5,435,1962-06-19,1963-11-27,Television and Infra-Red Observation Satellite,"NASA
",DRIFT,750 km,,58.1°,,Inactive,"AMSR
DCS (ADEOS)
GLI
ILAS-II
POLDER
SeaWinds",2015-07-27 19:42:57
TIROS-6,436,1962-09-18,1963-10-12,Television and Infra-Red Observation Satellite,"NASA
",DRIFT,700 km,,58.3°,,Inactive,"ASPEX
HEL1OS
Magnetometer (Aditya)
PAPA
SUIT
SoLEXS
VELC",2021-06-10 16:32:43
TIROS-7,437,1963-06-19,1968-06-03,Television and Infra-Red Observation Satellite,"NASA
",DRIFT,680 km,,58.2°,,Inactive,ALADIN,2022-05-23 14:52:03
TIROS-8,438,1963-12-21,1967-07-01,Television and Infra-Red Observation Satellite,"NASA
",DRIFT,730 km,,58.5°,,Inactive,"AVNIR-2
PALSAR
PRISM",2019-10-27 22:34:40
Nimbus-1,315,1964-08-28,1964-09-23,Nimbus,"NASA
",SunSync,634 km,,,12:00 desc,Inactive,"CIRC
PALSAR-2",2021-12-27 16:24:28
TIROS-9,439,1965-01-22,1968-06-12,Television and Infra-Red Observation Satellite,"NASA
",SunSync,1350 km,,,09:30 desc,Inactive,WISH,2022-04-06 10:06:21
TIROS-10,440,1965-07-02,1967-07-01,Television and Infra-Red Observation Satellite,"NASA
",SunSync,790 km,,,09:30 desc,Inactive,PALSAR-3,2021-06-10 17:59:34
ESSA-1,91,1966-02-03,1967-03-08,TIROS Operational System,"NOAA
NASA",SunSync,770 km,,,09:30 desc,Inactive,SLIM6,2015-07-27 19:44:40
ESSA-2,92,1966-02-28,1970-10-16,TIROS Operational System,"NOAA
NASA",SunSync,1390 km,,,09:30 desc,Inactive,SLIM6,2022-01-03 16:01:58
Nimbus-2,316,1966-05-15,1969-01-17,Nimbus,"NASA
",SunSync,1140 km,,,11:30 desc,Inactive,NAOMI (AlSat),2020-01-01 03:12:22
